"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Amarela";"cor_raca_Branca";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
100;"100.0";1;"5.0";"25.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
100;"100.0";1;"9.0";"16.0";"5.0";"5.0";2020;16;1;0;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
100;"93.0";1;"11.0";"5.0";"4.0";"4.0";2020;15;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;15
75;"93.0";1;"8.0";"4.0";"4.0";"5.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;43
0;"23.0";0;"28.0";"16.0";"99.0";"4.0";2020;36;1;0;0;0;1;"0.0";0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;18
100;"96.0";1;"5.0";"0.0";"4.0";"4.0";2020;16;1;0;0;0;1;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;50
75;"96.0";1;"7.0";"6.0";"3.0";"4.0";2020;15;1;0;0;0;1;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;51
90;"90.0";1;"6.0";"6.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;41
100;"90.0";1;"8.0";"3.0";"5.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;25
100;"90.0";1;"4.0";"0.0";"1.0";"5.0";2020;16;1;0;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;63
100;"93.0";1;"8.0";"3.0";"5.0";"4.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
100;"100.0";1;"8.0";"29.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;53
75;"83.0";1;"7.0";"6.0";"3.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;39
90;"93.0";1;"8.0";"6.0";"4.0";"4.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;48
100;"86.0";1;"8.0";"0.0";"4.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;47
50;"46.0";1;"8.0";"3.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;50
60;"93.0";1;"9.0";"0.0";"5.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;3
90;"100.0";1;"10.0";"6.0";"4.0";"5.0";2020;15;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;47
75;"96.0";1;"6.0";"28.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;39
75;"86.0";1;"8.0";"6.0";"5.0";"4.0";2020;19;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;48
50;"86.0";1;"39.0";"27.0";"4.0";"5.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;10
100;"50.0";1;"8.0";"26.0";"4.0";"5.0";2020;15;1;0;0;0;1;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;53
100;"83.0";1;"8.0";"1.0";"4.0";"4.0";2020;16;1;0;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;49
100;"90.0";1;"11.0";"6.0";"3.0";"3.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;3
95;"80.0";1;"14.0";"8.0";"5.0";"5.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;23
95;"100.0";1;"7.0";"9.0";"4.0";"3.0";2020;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;9
95;"93.3333333333333";1;"10.0";"9.0";"4.0";"5.0";2020;15;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
15;"10.0";0;"32.0";"20.0";"3.0";"5.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;17
75;"63.3333333333333";1;"30.0";"18.0";"3.0";"4.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;21
95;"96.6666666666667";1;"11.0";"6.0";"5.0";"4.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;61
100;"83.3333333333333";1;"14.0";"9.0";"3.0";"5.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;60
70;"100.0";1;"14.0";"9.0";"5.0";"3.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
95;"56.6666666666667";1;"15.0";"4.0";"4.0";"5.0";2020;15;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4
0;"83.3333333333333";0;"99.0";"9.0";"5.0";"99.0";2020;15;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;2
95;"56.6666666666667";1;"9.0";"9.0";"4.0";"5.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;44
95;"63.3333333333333";1;"12.0";"3.0";"5.0";"5.0";2020;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;10
0;"0.0";0;"99.0";"99.0";"2.0";"99.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;20
70;"80.0";1;"14.0";"9.0";"5.0";"6.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;37
70;"83.3333333333333";1;"7.0";"5.0";"1.0";"4.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;34
45;"56.6666666666667";0;"22.0";"10.0";"1.0";"0.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;37
95;"86.6666666666667";1;"7.0";"15.0";"99.0";"0.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;39
70;"76.6666666666667";1;"18.0";"9.0";"5.0";"5.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;11
70;"50.0";0;"8.0";"17.0";"1.0";"5.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;40
0;"40.0";0;"99.0";"20.0";"4.0";"4.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;47
75;"73.3333333333333";1;"32.0";"20.0";"3.0";"2.0";2020;15;0;1;0;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;47
75;"80.0";0;"29.0";"17.0";"99.0";"99.0";2020;16;0;1;0;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;47
25;"50.0";0;"11.0";"4.0";"2.0";"3.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;10
95;"56.6666666666667";0;"10.0";"9.0";"4.0";"4.0";2020;15;0;1;0;0;1;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
95;"93.3333333333333";1;"10.0";"22.0";"5.0";"5.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
70;"73.3333333333333";1;"11.0";"5.0";"1.0";"5.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;28
45;"56.6666666666667";0;"14.0";"9.0";"1.0";"0.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;39
65;"23.3333333333333";0;"8.0";"9.0";"5.0";"3.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;52
0;"66.6666666666667";1;"99.0";"17.0";"3.0";"0.0";2020;16;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;54
95;"90.0";1;"10.0";"5.0";"3.0";"5.0";2020;15;0;1;0;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;39
50;"53.3333333333333";0;"32.0";"20.0";"99.0";"99.0";2020;16;0;1;0;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;8
100;"100.0";1;"36.0";"24.0";"3.0";"5.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;59
90;"100.0";1;"36.0";"24.0";"5.0";"5.0";2020;16;0;0;1;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;38
90;"100.0";1;"36.0";"24.0";"4.0";"4.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;26
