"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"('Nota', 'Biologia I')";"('Nota', 'Educacao Fisica I')";"('Nota', 'Filosofia I')";"('Nota', 'Fisica I')";"('Nota', 'Geografia I')";"('Nota', 'Historia I')";"('Nota', 'Lingua Portuguesa e Literatura Brasileira I')";"('Nota', 'Matematica I')";"('Nota', 'Quimica I')";"('Nota', 'Sociologia I')";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Branca";"cor_raca_Indigena";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PCD";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
78;80;1;"3.0";"1.0";"3.0";"3.0";2019;"87.0";"91.0";"91.0";"92.0";"80.0";"85.0";"83.0";"89.0";"87.0";"87.0";17;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;133
96;100;1;"2.0";"1.0";"4.0";"2.0";2019;"77.0";"90.0";"78.0";"94.0";"92.0";"58.0";"85.0";"79.0";"75.0";"84.0";17;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;149
66;80;1;"6.0";"6.0";"99.0";"3.0";2019;"75.0";"92.0";"75.0";"74.0";"83.0";"52.0";"71.0";"50.0";"53.0";"83.0";16;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;35
66;80;1;"4.0";"6.0";"99.0";"4.0";2019;"52.0";"91.0";"79.0";"79.0";"92.0";"58.0";"73.0";"83.0";"45.0";"76.0";16;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;132
92;90;1;"6.0";"6.0";"3.0";"4.0";2019;"91.0";"94.0";"91.0";"89.0";"94.0";"80.0";"85.0";"79.0";"88.0";"87.0";16;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;5
100;100;1;"3.0";"1.0";"4.0";"4.0";2019;"79.0";"86.0";"82.0";"96.0";"95.0";"72.0";"95.0";"84.0";"82.0";"89.0";17;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;116
74;80;1;"2.0";"1.0";"3.0";"2.0";2019;"71.0";"87.0";"85.0";"86.0";"80.0";"66.0";"82.0";"69.0";"63.0";"80.0";17;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;10
48;100;1;"3.0";"1.0";"3.0";"3.0";2019;"75.0";"92.0";"85.0";"93.0";"80.0";"62.0";"85.0";"84.0";"81.0";"85.0";17;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;126
0;0;0;"99.0";"99.0";"99.0";"99.0";2018;"78.0";"78.0";"51.0";"51.0";"56.0";"43.0";"48.0";"56.5";"71.0";"73.0";18;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;20
50;80;1;"5.0";"6.0";"0.0";"5.0";2019;"63.0";"95.0";"77.0";"78.0";"91.0";"77.0";"76.0";"77.0";"54.0";"77.0";17;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;158
78;100;1;"5.0";"6.0";"3.0";"5.0";2019;"44.0";"81.0";"55.0";"89.0";"79.0";"73.0";"85.0";"54.0";"53.0";"73.0";16;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;151
92;80;1;"31.0";"24.0";"99.0";"4.0";2018;"77.0";"80.0";"54.0";"51.0";"74.0";"50.0";"58.0";"51.0";"70.0";"75.0";17;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;13
100;90;1;"3.0";"4.0";"2.0";"3.0";2019;"45.0";"81.0";"72.0";"90.0";"83.0";"71.0";"88.0";"92.0";"79.0";"84.0";17;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;133
18;60;0;"7.0";"7.0";"0.0";"3.0";2019;"85.0";"93.0";"74.0";"82.0";"74.0";"45.0";"75.0";"57.0";"50.0";"73.0";17;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;77
100;80;1;"3.0";"3.0";"3.0";"5.0";2019;"98.0";"95.0";"94.0";"88.0";"93.0";"81.0";"90.0";"83.0";"92.0";"80.0";16;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;151
82;100;1;"4.0";"2.0";"99.0";"4.0";2019;"71.0";"91.0";"77.0";"60.0";"83.0";"59.0";"75.0";"53.0";"66.0";"73.0";16;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;157
78;90;1;"2.0";"1.0";"0.0";"2.0";2019;"75.0";"92.0";"78.0";"93.0";"91.0";"63.0";"87.0";"84.0";"70.0";"80.0";12;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;117
44;100;1;"6.0";"1.0";"99.0";"2.0";2019;"38.0";"80.0";"70.0";"51.0";"83.0";"50.0";"76.0";"34.0";"74.0";"77.0";16;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;119
74;80;1;"5.0";"5.0";"2.0";"5.0";2019;"80.0";"98.0";"84.0";"73.0";"77.0";"73.0";"79.0";"71.0";"74.0";"82.0";16;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;133
78;80;1;"3.0";"2.0";"2.0";"3.0";2019;"73.0";"86.0";"85.0";"80.0";"86.0";"71.0";"79.0";"76.0";"84.0";"79.0";16;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;133
100;80;1;"2.0";"4.0";"3.0";"3.0";2018;"83.0";"78.0";"71.0";"53.0";"74.0";"58.0";"75.0";"82.0";"73.0";"74.0";17;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;81
22;100;1;"4.0";"3.0";"99.0";"4.0";2019;"77.0";"87.0";"93.0";"90.0";"77.0";"58.0";"84.0";"86.0";"78.0";"82.0";16;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;133
